Number of active threads,Average HTTP Request,HTTP Request
612,,3321.0
613,,3301.0
616,,3316.0
617,,3290.0
618,,3433.0
620,,3308.0
621,,3242.0
622,,1708.5
623,,1298.3333333333333
624,,1751.5
625,,3326.0
626,,3326.0
627,,1709.0
628,,3166.0
629,,1680.5
630,,3359.0
631,,3279.0
632,,3153.0
633,,1167.3333333333333
634,,3187.0
635,,2236.0
636,,3183.0
637,,3348.0
638,,3218.0
639,,1623.5
640,,1707.0
641,,1681.5
642,,3298.0
643,,3217.0
644,,3192.0
645,,3300.0
646,,3192.0
647,,1677.5
648,,3339.0
649,,3369.0
650,,3337.0
651,,3368.0
652,,3294.0
653,,1761.0
654,,1658.0
655,,1204.0
657,,3150.0
658,,3335.0
659,,3301.0
660,,1006.5
661,,3274.0
662,,1698.0
663,,3330.0
664,,1228.3333333333333
665,,3161.0
666,,3156.0
667,,1740.5
668,,635.2857142857143
669,,1142.3333333333333
670,,3146.0
671,,3201.0
672,,755.0
673,,3135.0
675,,2126.3333333333335
676,,3159.0
677,,2215.3333333333335
678,,3156.0
679,,3142.0
680,,3144.0
681,,3148.0
682,,1641.0
683,,1693.0
684,,3156.0
685,,1612.0
686,,3115.0
687,,1696.5
688,,3177.0
690,,3160.5
691,,1611.5
692,,3154.0
693,,3164.0
694,,3176.0
695,,3116.0
696,,1681.5
697,,3114.0
698,,1660.5
699,,3167.0
700,,3148.0
701,,3129.0
702,,3105.0
703,,1586.0
704,,3095.0
705,,3157.0
706,,3088.0
707,,1652.0
708,,3159.0
709,,3158.0
710,,3160.0
711,,3121.0
712,,3126.6666666666665
713,,3118.0
714,,3114.0
716,,3133.0
717,,1573.5
718,,3132.5
720,,3115.5
721,,1142.0
722,,852.25
723,,886.25
724,,1680.0
725,,3107.0
726,,3107.0
727,,3161.0
728,,3083.0
729,,3101.0
730,,3083.0
731,,3134.0
732,,3093.0
734,,3103.0
735,,3094.0
736,,3133.0
737,,3108.0
739,,2114.6666666666665
740,,3070.0
741,,963.7142857142857
742,,3179.0
743,,3115.25
744,,3136.0
745,,3094.0
746,,3097.0
747,,3161.5
748,,3130.0
749,,3130.0
750,,3126.0
751,,3121.0
752,,3120.0
754,,3092.0
755,,3069.0
756,,3084.0
757,,3149.0
758,,1648.0
759,,496.7142857142857
760,,3096.0
761,,1649.0
762,,3135.0
763,,2109.6666666666665
764,,3127.0
765,,3091.0
766,,3087.0
768,,3099.0
769,,3087.5
770,,3121.0
771,,3067.0
772,,3064.0
773,,3109.0
774,,3102.0
775,,3061.0
776,,3058.0
777,,3057.0
778,,1549.0
779,,3074.5
780,,3054.0
781,,1054.0
782,,3122.5
783,,3123.0
784,,3092.0
785,,2480.2
786,,3114.0
787,,3086.3333333333335
789,,3045.5
790,,3046.0
791,,3101.0
793,,3073.0
794,,3043.0
795,,249.37037037037038
796,,873.0909090909091
797,,3046.5
798,,2027.0
799,,2290.75
800,,3050.0
801,,2019.0
802,,3045.5
803,,2278.5
804,,3039.0
805,,1021.0
806,,3102.0
807,,1526.0
808,,3033.5
809,,1231.6
810,,320.1
811,,1230.2
812,,56.32795698924729
813,,220.5
814,,69.28571428571429
815,,44.266666666666666
816,,365.0
817,,43.3125
818,,139.66666666666666
819,,324.3076923076923
820,,410.0
822,,501.5
823,,460.0
824,,1588.5
825,,1848.5
826,,385.0
828,,1381.6666666666667
829,,493.0
830,,3172.0
831,,1890.5
832,,319.0
833,,502.0
835,,3194.0
836,,369.0
837,,3187.0
838,,477.0
840,,450.5
842,,506.5
843,,246.0
844,,378.0
845,,433.0
846,,347.0
847,,165.0
848,,309.0
849,,305.0
851,,179.5
854,,188.16666666666666
856,,1892.5
857,,340.0
858,,89.75
859,,144.0
860,,82.44444444444444
861,,347.0
862,,58.266666666666666
863,,332.0
864,,646.0
865,,3100.0
866,,298.0
867,,3103.5
868,,318.0
869,,1731.0
870,,1740.0
871,,283.0
872,,1751.0
873,,462.0
874,,471.0
875,,405.0
877,,375.0
878,,541.0
879,,556.0
880,,332.0
881,,413.0
883,,3092.0
884,,517.0
885,,364.0
886,,3104.0
887,,490.0
888,,451.0
889,,394.0
890,,3073.0
891,,358.0
892,,1822.0
894,,2230.6666666666665
895,,1810.5
896,,448.0
897,,367.0
898,,407.0
899,,1166.6666666666667
900,,323.0
901,,390.0
902,,554.0
903,,1741.0
905,,1736.3333333333333
907,,394.5
908,,3067.0
909,,525.0
910,,349.0
911,,1796.5
912,,399.0
913,,3071.0
914,,1365.0
915,,3085.0
916,,420.0
917,,515.0
918,,426.0
919,,399.0
920,,3070.0
921,,324.0
922,,253.0
923,,3095.0
924,,296.0
925,,490.0
926,,285.0
927,,3159.0
928,,313.0
929,,342.0
930,,204.0
931,,280.0
932,,300.0
933,,202.0
934,,620.0
936,,362.5
937,,226.0
939,,273.5
940,,231.0
941,,187.0
942,,3117.0
943,,220.0
944,,231.0
945,,520.0
946,,204.0
947,,188.0
949,,203.0
950,,216.0
952,,241.0
953,,164.0
954,,170.0
955,,238.0
956,,183.0
957,,492.0
958,,186.0
959,,158.0
960,,235.0
961,,203.0
962,,227.0
964,,169.5
965,,221.0
966,,213.0
967,,202.0
969,,234.0
970,,237.0
971,,169.0
972,,284.0
973,,153.0
974,,252.0
976,,315.5
977,,195.0
978,,189.0
979,,150.0
980,,486.0
981,,132.0
982,,135.0
983,,397.0
984,,161.0
985,,168.0
986,,134.0
987,,135.0
988,,163.0
989,,145.0
990,,122.0
991,,184.0
992,,483.0
993,,545.0
995,,185.5
996,,139.0
997,,170.0
998,,123.0
999,,162.0
1000,,158.0
1001,,132.0
1002,,194.5
1004,,167.5
1005,,207.0
1006,,266.0
1007,,198.0
1008,,200.0
1009,,533.0
1010,,244.0
1011,,189.0
1012,,199.0
1013,,366.0
1014,,214.0
1015,,360.0
1016,,268.0
1017,,428.0
1018,,187.0
1019,,204.0
1020,,524.0
1021,,403.0
1022,,374.0
1023,,286.0
1024,,364.0
1025,,318.0
1026,,316.0
1027,,327.0
1028,,331.0
1029,,440.0
1030,,290.0
1031,,186.0
1032,,319.5
1033,,398.0
1034,,401.0
1035,,349.0
1036,,377.0
1037,,275.0
1038,,194.0
1039,,330.0
1040,,347.0
1041,,274.0
1042,,154.0
1044,,339.5
1045,,388.0
1046,,374.0
1047,,381.0
1048,,152.0
1049,,356.0
1050,,236.0
1051,,271.0
1052,,346.0
1053,,369.0
1055,,290.5
1056,,153.0
1057,,327.0
1059,,192.5
1060,,153.0
1062,,253.5
1063,,171.0
1064,,162.0
1065,,308.0
1066,,146.0
1067,,207.0
1068,,309.0
1069,,197.0
1070,,157.0
1071,,378.0
1072,,176.0
1073,,341.0
1074,,321.0
1075,,153.0
1076,,369.0
1077,,237.0
1078,,173.0
1080,,236.0
1081,,214.0
1082,,184.0
1084,,253.0
1085,,133.0
1086,,170.0
1087,,473.0
1088,,128.0
1089,,123.0
1090,,281.0
1091,,159.0
1092,,258.0
1093,,293.0
1094,,115.0
1095,,254.0
1096,,111.0
1097,,188.0
1098,,247.0
1100,,546.6919642857122
